# Eastern
GOD_WAKUMUSUBI;Wakumusubi;;;;;;;;;;;;;x
GOD_WATASHI_NO_OKAMI;Watashi-no-Okami;;;;;;;;;;;;;x
GOD_WATATSUMI;Watasumi;;;;;;;;;;;;;x
GOD_XIHE;Xihe;Xihe;Xihe;;Xihe;;;;;;;;;x
GOD_XINULUO;Xinuluo;;;;;;;;;;;;;x
GOD_XIWANGMU;Xiwang Mu;;;;;;;;;;;;;x
GOD_XOB;Xob;;;;;;;;;;;;;x
GOD_YAJ_YUAM;Yaj Yuam;;;;;;;;;;;;;x
GOD_YAO;King Yao;;;;;;;;;;;;;x
GOD_YEOMRA_DAEWANG;Yeomra Daewang;;;;;;;;;;;;;x
GOD_YEONGDEUNG_HALMANG;Yeongdeung Halmang;;;;;;;;;;;;;x
GOD_YU;King Yu;;;;;;;;;;;;;x
GOD_YUANSHI_TIANZUN;Yuanshi Tianzun;;;;;;;;;;;;;x
GOD_YUHUANG_DADI;The Jade Emperor;;;;;;;;;;;;;x
GOD_YUSHKEP_KAMUY;Yushkep Kamuy;;;;;;;;;;;;;x
GOD_Y_A_NA;Y A Na;Y A Na;Y A Na;;Y A Na;;;;;;;;;x
GOD_ZAJ_LAUG;Zaj Laug;;;;;;;;;;;;;x
GOD_ZAOSHEN;Zaoshen;;;;;;;;;;;;;x
GOD_ZHUANXU;Zhuanxu Heidi;;;;;;;;;;;;;x
GOD_ZHURONG;Zhurong;;;;;;;;;;;;;x
KING_WEN;King Wen of Zhou;;;;;;;;;;;;;x¨
PROPHET_BONIU;Boniu;;;;;;;;;;;;;x
PROPHET_BOYI;Boyi;;;;;;;;;;;;;x
PROPHET_CONFUCIUS;Confucius;Confucius;Confucius;;Confucius;;;;;;;;;x
PROPHET_DONGZHONGSHU;Dong Zhongshu;;;;;;;;;;;;;x
PROPHET_GONGSUNHONG;Gongsun Hong;;;;;;;;;;;;;x
PROPHET_EN_NO_GYOJA;En no Gyoja;;;;;;;;;;;;;x
PROPHET_EN_NO_KIMI_OZUNU;En no Kimi Ozunu;;;;;;;;;;;;;x
PROPHET_EN_NO_OZUNU;En no Ozunu;;;;;;;;;;;;;x
PROPHET_EN_NO_UBASOKU;En no Ubasoku;;;;;;;;;;;;;x
PROPHET_LAOZI;Laozi;;;;;;;;;;;;;x
PROPHET_MENCIUS;Mencius;;;;;;;;;;;;;x
PROPHET_RANQIU;Ran Qiu;;;;;;;;;;;;;x
PROPHET_SHUQI;Shuqi;;;;;;;;;;;;;x
PROPHET_XUNZI;Xunzi;;;;;;;;;;;;;x
PROPHET_YANHUI;Yan Hui;;;;;;;;;;;;;x
PROPHET_YOURUO;You Ruo;;;;;;;;;;;;;x
PROPHET_ZAIYU;Zaiyu;;;;;;;;;;;;;x
PROPHET_ZENGZI;Zengzi;;;;;;;;;;;;;x
PROPHET_ZHONGGONG;Zhonggong;;;;;;;;;;;;;x
PROPHET_ZIGONG;Zigong;;;;;;;;;;;;;x
PROPHET_ZILU;Zilu;;;;;;;;;;;;;x
PROPHET_ZIQIAN;Ziqian;;;;;;;;;;;;;x
PROPHET_ZISI;Zisi;;;;;;;;;;;;;x
PROPHET_ZIXIA;Zixia;;;;;;;;;;;;;x
PROPHET_ZIYOU;Ziyou;;;;;;;;;;;;;x
PROPHET_ZIZHANG;Zizhang;;;;;;;;;;;;;x
PROPHET_ZUOQIUMING;Zuo Qiuming;;;;;;;;;;;;;x
# Evil god names
AM;Am;;;;;;;;;;;;x
CHAOS;Luanshi;;;;;;;;;;;;;x
E_GUI;Hungry Ghosts;;;;;;;;;;;;;x
GHOST_JIEGUJIENUO;Jiegujienuo;;;;;;;;;;;;;x
GOD_AMANOZAKO;Amanozako;;;;;;;;;;;;;x
GOD_AMATSU_MIKABOSHI;Amatsu-Mikaboshi;;;;;;;;;;;;;x
GOD_DAB_QUS;Dab Qus;;;;;;;;;;;;;x
GOD_FUJIN;Fujin;;;;;;;;;;;;;x
GOD_KAHAKU;Kahaku;;;;;;;;;;;;;x
GOD_KAWA_NO_KAMI;Kawa-no-kami;;;;;;;;;;;;;x
GOD_KENAS_UNARPE;Kenas-unarpe;;;;;;;;;;;;;x
GOD_NPLOOJ_LWG;Nplooj Lwg;;;;;;;;;;;;;x
GOD_OSHIRASAMA;Oshirasama;;;;;;;;;;;;;x
GOD_PAKORO_KAMUY;Pakoro Kamuy;;;;;;;;;;;;;x
GOD_PAUCHI_KAMUY;Pauchi Kamuy;;;;;;;;;;;;;x
GOD_POJ_NTXOOG;Poj Ntxoog;;;;;;;;;;;;;x
GOD_RAIJIN;Raijin;;;;;;;;;;;;;x
GOD_SIREABI;Sireabi;;;;;;;;;;;;;x
GOD_SUMYEONG_JANGJA;Sumyeong-Jangja;;;;;;;;;;;;;x
GOD_SUPAY;Supay;;;;;;;;;;;;;x
GOD_THE_ONI;The Oni;;;;;;;;;;;;;x
GOD_THE_SANSHI;The Sanshi;;;;;;;;;;;;;x
GOD_THREE_CORPSES;Three Corpses;;;;;;;;;;;;;x
IGNORANCE;Wuzhi;;;;;;;;;;;;;x
JING_GUAI;Spirits and Monsters;;;;;;;;;;;;;x
SHUI_GUI;Drowned Ghosts;;;;;;;;;;;;;x
XIAOREN;Xiaoren;Xiaoren;Xiaoren;;Xiaoren;;;;;;;;;x
YOU_HUN;Wandering Souls;;;;;;;;;;;;;x
YUAN_GUI;Aggrieved Ghosts;;;;;;;;;;;;;x
# Scriptures
I_CHING;The I Ching;;;;;;;;;;;;;x
THE_COLLECTED_YUKAR;The Collected Yukar;;;;;;;;;;;;;x
THE_JESEOK_BON_PURI;The Jeseok Bon-puri;;;;;;;;;;;;;x
THE_LUNYU;the Lunyu;la Lunyu;der Lunyu;;la Lunyu;;;;;;;;;x
THE_PUYA;the Puya;la Puya;der Puya;;la Puya;;;;;;;;;x
THE_RIKKOKUSHI;the Rikkokushi;la Rikkokushi;der Rikkokushi;;la Rikkokushi;;;;;;;;;x
THE_TEACHINGS;The Teachings;;;;;;;;;;;;;x
# Priest titles
BIMO;Bimo;;;;;;;;;;;;;x
JOKAI;Jokai;Jokai;Jokai;;Jokai;;;;;;;;;x
LISHENG;Lisheng;Lisheng;Lisheng;;Lisheng;;;;;;;;;x
MU;Mu;Mu;Mu;;Mu;;;;;;;;;x
THAN;Than;Than;Than;;Than;;;;;;;;;x
TXIV_NEEB;Txiv Neeb;;;;;;;;;;;;;
WU;Wu;Wu;Wu;;Wu;;;;;;;;;x
